colis_id,poids_kg,volume_m3,fragilite_0_10,valeur_estimee_ar,delai_express,categorie_declaree,designation,profil_source
COL-0046,2.79,0.029,8,20000,1,Fragile-Valeur,Cartes SIM et accessoires télécom,leger_valeur
COL-0047,3.05,0.005,6,691000,1,Fragile-Valeur,Cartes SIM et accessoires télécom,leger_valeur
COL-0048,3.9,0.035,8,129000,0,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0049,0.14,0.017,5,87000,1,Fragile-Valeur,Analyses médicales,express_petit
COL-0050,4.7,0.075,7,784000,0,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0051,0.84,0.04,8,20000,1,Fragile-Valeur,Composants électroniques,leger_valeur
COL-0052,47.2,1.453,2,214000,0,Standard,Briques et matériaux,lourd_robuste
COL-0053,0.05,0.113,8,140000,1,Fragile-Valeur,Composants électroniques,leger_valeur
COL-0054,2.14,0.043,5,10000,1,Express,Colis pharmacie de garde,express_petit
COL-0055,30.88,0.622,0,229000,0,Standard,Barres de fer,lourd_robuste
COL-0056,1.35,0.038,8,880000,1,Standard,Documents administratifs Tana,leger_valeur
COL-0057,57.05,0.74,1,160000,0,Standard,Sacs de charbon,lourd_robuste
COL-0058,4.08,0.021,9,347000,1,Fragile-Valeur,Documents administratifs Tana,leger_valeur
COL-0059,92.62,1.023,2,128000,0,Standard,Ferraille et quincaillerie,lourd_robuste
COL-0060,3.63,0.043,9,20000,1,Fragile-Valeur,Montres et accessoires,leger_valeur
COL-0061,45.74,0.734,8,1782000,0,Express,Instrument de musique,outlier
COL-0062,51.8,0.633,0,198000,0,Standard,Briques et matériaux,lourd_robuste
COL-0063,13.51,0.628,4,377000,0,Standard,Rideaux et tissus d'ameublement,volumineux_moyen
COL-0064,44.03,0.836,7,1058000,1,Fragile-Valeur,Instrument de musique,outlier
COL-0065,1.94,0.057,6,287000,1,Express,Cartes SIM et accessoires télécom,leger_valeur
COL-0066,3.67,0.057,9,312000,0,Fragile-Valeur,Colis notariés,leger_valeur
COL-0067,1.07,0.022,4,139000,0,Express,Kits de dépannage véhicule,express_petit
COL-0068,4.07,0.009,10,365000,0,Express,Cartes SIM et accessoires télécom,leger_valeur
COL-0069,34.13,0.995,1,114000,0,Standard,Sacs de charbon,lourd_robuste
COL-0070,11.59,0.429,4,412000,0,Standard,Jouets et articles ménagers,volumineux_moyen
COL-0071,13.56,0.645,4,202000,1,Standard,Rouleaux de tissu imprimé,volumineux_moyen
COL-0072,22.34,0.788,3,40000,1,Fragile-Valeur,Chaussures en carton,volumineux_moyen
COL-0073,75.94,1.253,1,130000,0,Standard,Barres de fer,lourd_robuste
COL-0074,29.83,0.309,3,40000,0,Standard,Chaussures en carton,volumineux_moyen
COL-0075,19.26,0.393,5,188000,0,Standard,Rideaux et tissus d'ameublement,volumineux_moyen
COL-0076,15.61,0.489,4,141000,0,Standard,Rideaux et tissus d'ameublement,volumineux_moyen
COL-0077,41.13,0.62,1,63000,0,Standard,Sable et gravats conditionnés,lourd_robuste
COL-0078,2.16,0.01,9,731000,1,Express,Composants électroniques,leger_valeur
COL-0079,3.11,0.039,4,10000,1,Express,Colis pharmacie de garde,express_petit
COL-0080,1.56,0.002,3,10000,1,Express,Analyses médicales,express_petit
COL-0081,60.76,1.406,2,62000,0,Standard,Bidons d'huile alimentaire,lourd_robuste
COL-0082,1.85,0.053,6,282000,0,Express,Montres et accessoires,leger_valeur
COL-0083,3.87,1.779,1,40000,1,Fragile-Valeur,Groupe électrogène,outlier
COL-0084,72.23,0.411,2,49000,0,Standard,Barres de fer,lourd_robuste
COL-0085,19.88,0.389,2,194000,0,Standard,Nattes et vannerie,volumineux_moyen
COL-0086,3.7,0.059,8,650000,1,Fragile-Valeur,Téléphones reconditionnés,leger_valeur
COL-0087,76.94,0.67,1,157000,0,Standard,Sacs de ciment,lourd_robuste
COL-0088,1.86,0.038,2,96000,0,Express,Pièces détachées moto urgentes,express_petit
COL-0089,23.24,0.648,1,171000,0,Standard,Nattes et vannerie,volumineux_moyen
COL-0090,33.96,0.81,2,266000,0,Standard,Barres de fer,lourd_robuste
COL-0091,23.86,0.57,1,243000,0,Standard,Nattes et vannerie,volumineux_moyen
COL-0092,0.88,0.057,4,148000,1,Standard,Courrier recommandé urgent,express_petit
COL-0093,11.76,0.454,3,161000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0094,13.07,0.659,4,205000,0,Standard,Nattes et vannerie,volumineux_moyen
COL-0095,1.08,0.022,7,172000,1,Express,Courrier recommandé urgent,express_petit
COL-0096,13.35,0.868,4,241000,0,Standard,Literie et couettes,volumineux_moyen
COL-0097,1.66,0.024,8,480000,0,Fragile-Valeur,Cartes SIM et accessoires télécom,leger_valeur
COL-0098,3.74,0.09,7,719000,0,Fragile-Valeur,Lingots artisanat argent,leger_valeur
COL-0099,1.16,0.023,6,150000,1,Express,Kits de dépannage véhicule,express_petit
COL-0100,0.95,0.079,8,549000,0,Standard,Cartes SIM et accessoires télécom,leger_valeur
COL-0101,72.9,0.372,0,231000,0,Standard,Engrais NPK,lourd_robuste
COL-0102,2.37,0.007,6,146000,1,Express,Analyses médicales,express_petit
COL-0103,2.41,0.028,7,20000,0,Fragile-Valeur,Girofle Fenoarivo,leger_valeur
COL-0104,24.98,0.278,2,232000,0,Express,Vêtements en balle,volumineux_moyen
COL-0105,23.8,0.993,4,172000,0,Standard,Literie et couettes,volumineux_moyen
COL-0106,2.0,0.05,4,477000,0,Fragile-Valeur,Documents administratifs Tana,leger_valeur
COL-0107,23.29,0.464,3,139000,0,Express,Textile lamba et tissus,volumineux_moyen
COL-0108,46.77,0.71,1,195000,0,Standard,Bidons d'huile alimentaire,lourd_robuste
COL-0109,5.0,0.444,4,176000,0,Express,Jouets et articles ménagers,volumineux_moyen
COL-0110,3.64,0.097,9,77000,0,Express,Girofle Fenoarivo,leger_valeur
COL-0111,4.01,0.058,6,220000,0,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0112,1.94,0.002,2,25000,1,Express,Vaccins et produits réfrigérés,express_petit
COL-0113,18.81,0.637,4,291000,0,Express,Rouleaux de tissu imprimé,volumineux_moyen
COL-0114,1.87,0.062,10,555000,0,Fragile-Valeur,Vanille Sambava,leger_valeur
COL-0115,1.06,0.002,7,103000,1,Express,Médicaments urgents,express_petit
COL-0116,126.13,1.586,2,242000,0,Standard,Bidons d'huile alimentaire,lourd_robuste
COL-0117,80.49,0.773,2,157000,0,Standard,Engrais NPK,lourd_robuste
COL-0118,74.47,1.237,0,135000,0,Standard,Bidons d'huile alimentaire,lourd_robuste
COL-0119,2.54,0.009,8,396000,1,Fragile-Valeur,Colis notariés,leger_valeur
COL-0120,1.3,0.063,5,782000,1,Express,Bijouterie artisanale,leger_valeur
COL-0121,109.86,0.842,1,198000,0,Standard,Briques et matériaux,lourd_robuste
COL-0122,74.57,0.691,0,139000,0,Express,Ferraille et quincaillerie,lourd_robuste
COL-0123,15.03,0.397,6,201000,0,Standard,Vêtements en balle,volumineux_moyen
COL-0124,112.05,1.059,1,174000,0,Standard,Sacs de charbon,lourd_robuste
COL-0125,80.85,1.142,1,185000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0126,85.59,0.3,2,85000,0,Standard,Briques et matériaux,lourd_robuste
COL-0127,1.86,0.01,3,230000,1,Express,Pièces d'avion / aéronautique légère,express_petit
COL-0128,38.96,0.774,1,121000,0,Standard,Riz 50kg,lourd_robuste
COL-0129,5.13,0.052,5,539000,1,Fragile-Valeur,Girofle Fenoarivo,leger_valeur
COL-0130,32.47,0.611,3,97000,0,Standard,Cartons de vaisselle,volumineux_moyen
COL-0131,1.77,0.013,7,196000,0,Express,Bijouterie artisanale,leger_valeur
COL-0132,0.05,0.073,8,214000,1,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0133,0.86,0.006,6,116000,1,Standard,Colis pharmacie de garde,express_petit
COL-0134,67.55,0.418,0,34000,0,Standard,Engrais NPK,lourd_robuste
COL-0135,3.25,0.078,6,402000,1,Fragile-Valeur,Girofle Fenoarivo,leger_valeur
COL-0136,5.19,0.045,8,624000,0,Fragile-Valeur,Téléphones reconditionnés,leger_valeur
COL-0137,64.11,0.425,1,100000,0,Standard,Barres de fer,lourd_robuste
COL-0138,1.73,0.078,8,411000,0,Express,Colis notariés,leger_valeur
COL-0139,0.77,0.014,5,846000,0,Fragile-Valeur,Téléphones reconditionnés,leger_valeur
COL-0140,51.06,1.046,1,168000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0141,1.87,0.024,8,364000,1,Fragile-Valeur,Girofle Fenoarivo,leger_valeur
COL-0142,76.58,0.638,1,155000,0,Standard,Pièces détachées lourdes,lourd_robuste
COL-0143,27.02,0.407,10,1692000,1,Fragile-Valeur,Antiquité / objet d'art,outlier
COL-0144,0.05,0.005,10,159000,1,Fragile-Valeur,Pièces horlogères,leger_valeur
COL-0145,55.89,1.531,1,171000,0,Standard,Barres de fer,lourd_robuste
COL-0146,85.14,0.438,1,199000,0,Standard,Briques et matériaux,lourd_robuste
COL-0147,2.22,0.023,9,565000,1,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0148,62.26,0.922,2,127000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0149,77.13,0.34,2,161000,0,Standard,Sacs de manioc séché,lourd_robuste
COL-0150,0.65,0.019,4,134000,0,Fragile-Valeur,Médicaments urgents,express_petit
COL-0151,0.16,0.046,7,592000,0,Fragile-Valeur,Composants électroniques,leger_valeur
COL-0152,2.92,0.046,7,524000,0,Express,Vanille Sambava,leger_valeur
COL-0153,2.89,0.013,7,328000,0,Standard,Girofle Fenoarivo,leger_valeur
COL-0154,3.16,0.035,10,559000,1,Standard,Échantillons pharmaceutiques,leger_valeur
COL-0155,1.41,0.048,4,20000,1,Express,Vaccins et produits réfrigérés,express_petit
COL-0156,8.71,0.283,4,192000,0,Standard,Jouets et articles ménagers,volumineux_moyen
COL-0157,4.19,0.038,8,568000,1,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0158,86.76,0.66,1,274000,0,Standard,Barres de fer,lourd_robuste
COL-0159,2.03,0.042,1,58000,1,Express,Pièces informatiques SAV,express_petit
COL-0160,0.05,0.053,10,216000,0,Fragile-Valeur,Girofle Fenoarivo,leger_valeur
COL-0161,3.28,0.102,9,288000,1,Fragile-Valeur,Pièces horlogères,leger_valeur
COL-0162,16.33,0.492,3,109000,0,Standard,Nattes et vannerie,volumineux_moyen
COL-0163,2.43,0.041,1,179000,1,Express,Consommables médicaux,express_petit
COL-0164,3.28,0.063,8,498000,0,Fragile-Valeur,Pièces horlogères,leger_valeur
COL-0165,0.41,0.038,9,52000,1,Express,Colis pharmacie de garde,express_petit
COL-0166,1.3,0.016,2,158000,1,Express,Pièces détachées moto urgentes,express_petit
COL-0167,3.46,0.045,9,1035000,1,Fragile-Valeur,Composants électroniques,leger_valeur
COL-0168,1.93,0.055,8,20000,0,Fragile-Valeur,Montres et accessoires,leger_valeur
COL-0169,0.79,0.004,5,309000,1,Express,Colis pharmacie de garde,express_petit
COL-0170,4.01,0.039,7,20000,1,Standard,Échantillons pharmaceutiques,leger_valeur
COL-0171,0.99,0.059,7,20000,0,Fragile-Valeur,Vanille Sambava,leger_valeur
COL-0172,66.89,0.51,0,168000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0173,20.61,0.299,10,2048000,0,Standard,Groupe électrogène,outlier
COL-0174,5.38,0.043,9,374000,0,Fragile-Valeur,Documents administratifs Tana,leger_valeur
COL-0175,2.63,0.063,8,20000,0,Fragile-Valeur,Lingots artisanat argent,leger_valeur
COL-0176,20.0,0.803,0,44000,0,Standard,Pièces détachées lourdes,lourd_robuste
COL-0177,26.22,0.735,2,131000,0,Standard,Sacs de café en vrac,volumineux_moyen
COL-0178,35.94,1.329,2,228000,0,Standard,Riz 50kg,lourd_robuste
COL-0179,100.91,0.941,0,166000,0,Standard,Bidons d'huile alimentaire,lourd_robuste
COL-0180,26.2,0.457,4,191000,0,Standard,Cartons de vaisselle,volumineux_moyen
COL-0181,12.58,0.188,4,263000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0182,46.45,1.194,3,168000,0,Standard,Sacs de charbon,lourd_robuste
COL-0183,0.05,0.03,3,96000,1,Express,Pièces détachées moto urgentes,express_petit
COL-0184,78.56,0.851,0,30000,0,Standard,Barres de fer,lourd_robuste
COL-0185,1.43,0.023,3,19000,1,Express,Pièces d'avion / aéronautique légère,express_petit
COL-0186,0.72,0.064,7,254000,1,Fragile-Valeur,Girofle Fenoarivo,leger_valeur
COL-0187,5.0,0.682,5,217000,0,Standard,Rideaux et tissus d'ameublement,volumineux_moyen
COL-0188,1.67,0.04,9,586000,0,Fragile-Valeur,Composants électroniques,leger_valeur
COL-0189,70.74,0.836,0,139000,0,Standard,Sable et gravats conditionnés,lourd_robuste
COL-0190,70.29,1.051,0,72000,0,Standard,Riz 50kg,lourd_robuste
COL-0191,21.44,0.469,10,2626000,0,Fragile-Valeur,Instrument de musique,outlier
COL-0192,27.03,0.933,2,291000,0,Standard,Cartons de vaisselle,volumineux_moyen
COL-0193,11.03,0.544,3,136000,0,Standard,Textile lamba et tissus,volumineux_moyen
COL-0194,45.94,0.789,1,147000,0,Standard,Barres de fer,lourd_robuste
COL-0195,0.05,0.06,8,641000,1,Fragile-Valeur,Pièces horlogères,leger_valeur
COL-0196,73.5,0.811,1,280000,0,Standard,Sable et gravats conditionnés,lourd_robuste
COL-0197,78.24,1.056,1,108000,0,Standard,Sacs de charbon,lourd_robuste
COL-0198,1.74,0.028,7,719000,0,Fragile-Valeur,Colis notariés,leger_valeur
COL-0199,60.85,0.525,3,125000,0,Standard,Engrais NPK,lourd_robuste
COL-0200,5.0,0.573,2,237000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0201,0.64,0.013,5,57000,1,Express,Analyses médicales,express_petit
COL-0202,1.81,0.057,6,590000,0,Express,Documents administratifs Tana,leger_valeur
COL-0203,58.15,0.404,0,226000,0,Standard,Engrais NPK,lourd_robuste
COL-0204,62.8,1.402,2,192000,0,Standard,Sacs de charbon,lourd_robuste
COL-0205,79.74,1.883,3,195000,0,Standard,Bidons d'huile alimentaire,lourd_robuste
COL-0206,62.35,0.816,1,129000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0207,63.52,0.3,1,189000,0,Standard,Engrais NPK,lourd_robuste
COL-0208,2.76,0.066,6,859000,0,Fragile-Valeur,Colis notariés,leger_valeur
COL-0209,85.8,0.587,10,1961000,1,Fragile-Valeur,Groupe électrogène,outlier
COL-0210,18.26,0.256,2,162000,0,Standard,Chaussures en carton,volumineux_moyen
COL-0211,75.25,0.555,0,122000,0,Standard,Ferraille et quincaillerie,lourd_robuste
COL-0212,2.07,0.042,7,402000,0,Express,Colis notariés,leger_valeur
COL-0213,21.15,0.593,5,181000,1,Express,Textile lamba et tissus,volumineux_moyen
COL-0214,9.05,0.598,5,277000,0,Standard,Cartons de vaisselle,volumineux_moyen
COL-0215,65.9,0.773,2,116000,0,Standard,Barres de fer,lourd_robuste
COL-0216,22.82,0.392,3,230000,0,Standard,Articles de maroquinerie,volumineux_moyen
COL-0217,10.73,0.743,4,213000,0,Standard,Sacs de café en vrac,volumineux_moyen
COL-0218,68.03,0.901,0,224000,0,Standard,Ferraille et quincaillerie,lourd_robuste
COL-0219,26.57,0.553,5,278000,0,Fragile-Valeur,Textile lamba et tissus,volumineux_moyen
COL-0220,81.75,1.257,1,88000,0,Standard,Barres de fer,lourd_robuste
COL-0221,5.0,0.325,2,385000,0,Standard,Cartons de vaisselle,volumineux_moyen
COL-0222,51.56,1.115,0,139000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0223,2.29,0.046,9,20000,1,Fragile-Valeur,Girofle Fenoarivo,leger_valeur
COL-0224,88.11,1.421,0,30000,0,Standard,Ferraille et quincaillerie,lourd_robuste
COL-0225,7.74,0.005,5,672000,1,Express,Téléphones reconditionnés,leger_valeur
COL-0226,22.41,0.451,3,139000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0227,66.3,0.3,1,57000,0,Fragile-Valeur,Sable et gravats conditionnés,lourd_robuste
COL-0228,1.2,0.017,4,163000,1,Express,Colis pharmacie de garde,express_petit
COL-0229,22.63,0.419,1,96000,0,Fragile-Valeur,Literie et couettes,volumineux_moyen
COL-0230,4.24,0.092,8,399000,1,Fragile-Valeur,Cartes SIM et accessoires télécom,leger_valeur
COL-0231,2.93,0.02,8,794000,1,Fragile-Valeur,Composants électroniques,leger_valeur
COL-0232,3.3,0.032,9,553000,1,Fragile-Valeur,Échantillons pharmaceutiques,leger_valeur
COL-0233,1.27,0.033,4,55000,1,Express,Colis pharmacie de garde,express_petit
COL-0234,2.73,0.082,7,411000,0,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0235,14.24,0.15,2,251000,0,Fragile-Valeur,Sacs de café en vrac,volumineux_moyen
COL-0236,15.87,0.548,3,172000,0,Standard,Literie et couettes,volumineux_moyen
COL-0237,9.49,0.775,3,265000,0,Standard,Articles de maroquinerie,volumineux_moyen
COL-0238,65.15,0.82,0,117000,0,Standard,Sacs de manioc séché,lourd_robuste
COL-0239,67.98,0.674,0,195000,0,Standard,Barres de fer,lourd_robuste
COL-0240,20.0,0.903,1,162000,0,Standard,Ferraille et quincaillerie,lourd_robuste
COL-0241,18.76,0.261,3,134000,0,Standard,Rouleaux de tissu imprimé,volumineux_moyen
COL-0242,52.9,1.241,2,121000,0,Standard,Sable et gravats conditionnés,lourd_robuste
COL-0243,0.43,0.021,5,33000,1,Express,Pièces détachées moto urgentes,express_petit
COL-0244,4.08,0.005,7,290000,0,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0245,24.93,0.65,7,213000,0,Express,Nattes et vannerie,volumineux_moyen
COL-0246,3.83,0.011,8,919000,0,Standard,Vanille Sambava,leger_valeur
COL-0247,1.31,0.017,10,580000,0,Fragile-Valeur,Cartes SIM et accessoires télécom,leger_valeur
COL-0248,1.02,0.089,9,115000,0,Fragile-Valeur,Téléphones reconditionnés,leger_valeur
COL-0249,29.3,0.438,4,46000,0,Fragile-Valeur,Rouleaux de tissu imprimé,volumineux_moyen
COL-0250,86.65,0.847,2,163000,0,Standard,Sacs de charbon,lourd_robuste
COL-0251,0.06,0.014,1,123000,0,Express,Consommables médicaux,express_petit
COL-0252,7.52,0.503,2,164000,0,Standard,Chaussures en carton,volumineux_moyen
COL-0253,1.18,0.007,4,95000,1,Fragile-Valeur,Kits de dépannage véhicule,express_petit
COL-0254,57.93,0.497,0,176000,0,Standard,Sacs de charbon,lourd_robuste
COL-0255,5.0,0.403,4,188000,0,Fragile-Valeur,Rideaux et tissus d'ameublement,volumineux_moyen
COL-0256,0.05,0.035,7,224000,1,Express,Pièces d'avion / aéronautique légère,express_petit
COL-0257,99.09,0.846,2,78000,0,Standard,Riz 50kg,lourd_robuste
COL-0258,7.8,0.331,4,112000,0,Standard,Textile lamba et tissus,volumineux_moyen
COL-0259,20.0,1.409,1,279000,0,Standard,Briques et matériaux,lourd_robuste
COL-0260,1.13,0.003,5,104000,1,Express,Courrier recommandé urgent,express_petit
COL-0261,18.7,0.593,3,90000,1,Standard,Literie et couettes,volumineux_moyen
COL-0262,4.95,0.08,9,649000,0,Fragile-Valeur,Cartes SIM et accessoires télécom,leger_valeur
COL-0263,13.07,0.697,4,262000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0264,0.12,0.018,8,851000,0,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0265,93.94,1.044,0,166000,0,Standard,Riz 50kg,lourd_robuste
COL-0266,101.06,0.703,2,30000,0,Standard,Sacs de manioc séché,lourd_robuste
COL-0267,0.94,0.025,8,191000,1,Express,Courrier recommandé urgent,express_petit
COL-0268,0.7,0.034,9,393000,0,Fragile-Valeur,Échantillons pharmaceutiques,leger_valeur
COL-0269,2.33,0.027,7,150000,1,Express,Médicaments urgents,express_petit
COL-0270,2.9,0.064,7,662000,0,Fragile-Valeur,Montres et accessoires,leger_valeur
COL-0271,99.26,1.073,3,30000,0,Fragile-Valeur,Pièces détachées lourdes,lourd_robuste
COL-0272,40.01,1.297,3,211000,0,Standard,Ferraille et quincaillerie,lourd_robuste
COL-0273,56.58,0.485,2,131000,0,Standard,Briques et matériaux,lourd_robuste
COL-0274,23.38,0.571,4,251000,0,Standard,Articles de maroquinerie,volumineux_moyen
COL-0275,18.26,0.647,5,234000,0,Standard,Sacs de café en vrac,volumineux_moyen
COL-0276,9.39,0.666,5,210000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0277,7.2,1.121,3,283000,0,Fragile-Valeur,Rouleaux de tissu imprimé,volumineux_moyen
COL-0278,5.0,0.605,4,136000,0,Standard,Rideaux et tissus d'ameublement,volumineux_moyen
COL-0279,9.06,0.599,3,229000,0,Standard,Rideaux et tissus d'ameublement,volumineux_moyen
COL-0280,3.14,0.061,6,617000,0,Fragile-Valeur,Vanille Sambava,leger_valeur
COL-0281,12.87,0.709,3,219000,0,Standard,Vêtements en balle,volumineux_moyen
COL-0282,73.82,0.913,1,127000,0,Standard,Engrais NPK,lourd_robuste
COL-0283,0.72,0.002,6,10000,1,Express,Analyses médicales,express_petit
COL-0284,101.98,1.384,1,200000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0285,0.83,0.059,9,358000,0,Standard,Vanille Sambava,leger_valeur
COL-0286,0.05,0.002,7,31000,1,Express,Médicaments urgents,express_petit
COL-0287,15.93,0.732,2,196000,0,Standard,Rouleaux de tissu imprimé,volumineux_moyen
COL-0288,1.73,0.019,6,37000,1,Express,Médicaments urgents,express_petit
COL-0289,17.56,0.397,5,181000,0,Fragile-Valeur,Rouleaux de tissu imprimé,volumineux_moyen
COL-0290,10.79,0.493,4,164000,0,Standard,Rouleaux de tissu imprimé,volumineux_moyen
COL-0291,16.96,0.576,3,40000,0,Standard,Rideaux et tissus d'ameublement,volumineux_moyen
COL-0292,25.03,0.422,4,107000,0,Standard,Jouets et articles ménagers,volumineux_moyen
COL-0293,14.96,0.626,1,100000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0294,5.51,0.328,7,124000,0,Standard,Jouets et articles ménagers,volumineux_moyen
COL-0295,1.43,0.043,9,20000,0,Express,Lingots artisanat argent,leger_valeur
COL-0296,76.29,0.963,0,151000,0,Fragile-Valeur,Sable et gravats conditionnés,lourd_robuste
COL-0297,12.46,0.282,5,296000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0298,2.28,0.026,7,136000,1,Express,Pièces informatiques SAV,express_petit
COL-0299,16.25,0.233,10,1691000,0,Standard,Drone professionnel,outlier
COL-0300,73.9,0.424,7,1301000,1,Fragile-Valeur,Groupe électrogène,outlier
COL-0301,1.19,0.039,4,163000,1,Standard,Kits de dépannage véhicule,express_petit
COL-0302,73.51,0.766,2,84000,0,Standard,Sacs de manioc séché,lourd_robuste
COL-0303,6.82,0.865,2,181000,0,Standard,Literie et couettes,volumineux_moyen
COL-0304,36.23,0.695,1,36000,0,Standard,Barres de fer,lourd_robuste
COL-0305,3.06,0.086,8,465000,1,Fragile-Valeur,Montres et accessoires,leger_valeur
COL-0306,65.87,0.805,2,252000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0307,94.69,0.859,2,278000,0,Standard,Briques et matériaux,lourd_robuste
COL-0308,65.07,1.066,3,124000,0,Standard,Tôles galvanisées,lourd_robuste
COL-0309,1.55,0.039,6,202000,0,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0310,0.66,0.057,8,511000,0,Express,Documents administratifs Tana,leger_valeur
